date,heure,client,achat,status
14/05/2026,09:40,aina.rakotondrasoa@example.com,"{[""sk-mac"";1],[""sk-galaxy-tab"";1]}",completed
14/05/2026,13:05,john.rakoto@example.com,"{[""sk-lenovo"";2],[""sk-logitech"";3]}",pending
14/05/2026,18:30,clara.rasoa@example.com,"{[""sk-iphone"";5]}",completed
15/05/2026,08:55,dera.rajaonary@example.com,"{[""sk-huawei"";1],[""sk-samsung"";1]}",completed
15/05/2026,12:20,miora.andriamihaja@example.com,"{[""sk-dell"";2],[""sk-ecran"";1]}",cancelled
15/05/2026,17:45,fidy.ravelo@example.com,"{[""sk-ipad"";2]}",pending
16/05/2026,10:10,haja.randria@example.com,"{[""sk-lenovo"";3],[""sk-mac"";1]}",completed
16/05/2026,14:35,tahina.ranaivo@example.com,"{[""sk-galaxy-tab"";1],[""sk-iphone"";2]}",completed
16/05/2026,19:00,nomena.rabearison@example.com,"{[""sk-logitech"";7]}",completed
17/05/2026,07:25,toky.rakotondrabe@example.com,"{[""sk-samsung"";2]}",pending
17/05/2026,11:50,lanto.razafindrakoto@example.com,"{[""sk-ecran"";2],[""sk-dell"";1]}",completed
17/05/2026,16:15,soa.rakotomalala@example.com,"{[""sk-huawei"";3],[""sk-logitech"";1]}",completed
18/05/2026,09:30,nyaina.razafimandimby@example.com,"{[""sk-iphone"";2],[""sk-ipad"";2]}",cancelled
18/05/2026,13:55,fara.rakotoniaina@example.com,"{[""sk-lenovo"";1]}",pending
18/05/2026,18:20,mamy.rajoelina@example.com,"{[""sk-mac"";2],[""sk-galaxy-tab"";1]}",completed
19/05/2026,08:45,rija.rakotovao@example.com,"{[""sk-samsung"";3],[""sk-ecran"";1]}",completed
19/05/2026,12:10,tovo.razafintsalama@example.com,"{[""sk-dell"";1],[""sk-iphone"";1]}",pending
19/05/2026,17:35,hery.ranaivoson@example.com,"{[""sk-logitech"";8]}",completed
20/05/2026,10:00,bako.rakotozafy@example.com,"{[""sk-lenovo"";2],[""sk-huawei"";2]}",completed
20/05/2026,14:25,niry.razakamiadana@example.com,"{[""sk-ipad"";3],[""sk-mac"";1]}",cancelled
20/05/2026,19:50,aina.rakotondrasoa@example.com,"{[""sk-samsung"";1]}",pending
21/05/2026,07:05,john.rakoto@example.com,"{[""sk-ecran"";2],[""sk-galaxy-tab"";2]}",completed
21/05/2026,11:30,clara.rasoa@example.com,"{[""sk-dell"";2]}",completed
21/05/2026,16:55,dera.rajaonary@example.com,"{[""sk-iphone"";4],[""sk-logitech"";2]}",pending
22/05/2026,09:20,miora.andriamihaja@example.com,"{[""sk-lenovo"";1],[""sk-mac"";1],[""sk-samsung"";1]}",completed
22/05/2026,13:45,fidy.ravelo@example.com,"{[""sk-huawei"";2]}",completed
22/05/2026,18:10,haja.randria@example.com,"{[""sk-ipad"";1],[""sk-ecran"";1]}",cancelled
23/05/2026,08:35,tahina.ranaivo@example.com,"{[""sk-galaxy-tab"";3],[""sk-logitech"";1]}",pending
23/05/2026,12:00,nomena.rabearison@example.com,"{[""sk-dell"";1]}",completed
23/05/2026,17:25,toky.rakotondrabe@example.com,"{[""sk-lenovo"";4]}",completed
24/05/2026,10:50,lanto.razafindrakoto@example.com,"{[""sk-mac"";1],[""sk-iphone"";2]}",pending
24/05/2026,15:15,soa.rakotomalala@example.com,"{[""sk-samsung"";2],[""sk-huawei"";1]}",completed
24/05/2026,20:40,nyaina.razafimandimby@example.com,"{[""sk-ecran"";3]}",completed
25/05/2026,07:00,fara.rakotoniaina@example.com,"{[""sk-logitech"";5],[""sk-ipad"";1]}",cancelled
25/05/2026,11:25,mamy.rajoelina@example.com,"{[""sk-lenovo"";2],[""sk-galaxy-tab"";1]}",pending
25/05/2026,16:50,rija.rakotovao@example.com,"{[""sk-dell"";3]}",completed
26/05/2026,09:15,tovo.razafintsalama@example.com,"{[""sk-iphone"";3]}",completed
26/05/2026,13:40,hery.ranaivoson@example.com,"{[""sk-mac"";2],[""sk-samsung"";2]}",pending
26/05/2026,18:05,bako.rakotozafy@example.com,"{[""sk-huawei"";1],[""sk-ecran"";2]}",completed
27/05/2026,08:30,niry.razakamiadana@example.com,"{[""sk-lenovo"";1],[""sk-logitech"";3]}",completed
27/05/2026,12:55,aina.rakotondrasoa@example.com,"{[""sk-galaxy-tab"";2]}",cancelled
27/05/2026,17:20,john.rakoto@example.com,"{[""sk-ipad"";2],[""sk-dell"";1]}",pending
28/05/2026,10:45,clara.rasoa@example.com,"{[""sk-samsung"";1],[""sk-iphone"";1]}",completed
28/05/2026,15:10,dera.rajaonary@example.com,"{[""sk-mac"";3]}",completed
28/05/2026,20:35,miora.andriamihaja@example.com,"{[""sk-lenovo"";2],[""sk-ecran"";1],[""sk-logitech"";2]}",pending
29/05/2026,07:00,fidy.ravelo@example.com,"{[""sk-huawei"";4]}",completed
29/05/2026,11:25,haja.randria@example.com,"{[""sk-dell"";2],[""sk-galaxy-tab"";1]}",completed
29/05/2026,16:50,tahina.ranaivo@example.com,"{[""sk-iphone"";2],[""sk-ipad"";2]}",cancelled
30/05/2026,09:15,nomena.rabearison@example.com,"{[""sk-samsung"";3]}",pending
30/05/2026,13:40,toky.rakotondrabe@example.com,"{[""sk-lenovo"";1]}",completed
30/05/2026,18:05,lanto.razafindrakoto@example.com,"{[""sk-mac"";1],[""sk-ecran"";3]}",completed
31/05/2026,08:30,soa.rakotomalala@example.com,"{[""sk-logitech"";6],[""sk-iphone"";1]}",pending
31/05/2026,12:55,nyaina.razafimandimby@example.com,"{[""sk-dell"";1],[""sk-huawei"";2]}",completed
31/05/2026,17:20,fara.rakotoniaina@example.com,"{[""sk-galaxy-tab"";2],[""sk-lenovo"";2]}",completed
